name,sku,size,description,available,sortOrder,collections,imageUrl
"4"" Philodendron - Birken",1110236000,"4""","A lush, easy-care trailing or climbing vine prized for its glossy, richly coloured foliage. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_acbe412bf2e44b319a79d1a6ff00f37b~mv2.jpg
"4"" Pilea Sao Paulo",1110240800,"4""","A charming, compact plant with round, coin-shaped or textured leaves that make a fun tabletop accent. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Rotate occasionally for even, symmetrical growth. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_4b9116340b2a4ad5a28f39ac4b0e658e~mv2.jpg
"4"" Silver Sparkle",1110240900,"4""","A Pilea variety with striking silver-brushed, quilted foliage. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_554fac545d034e728c82993f0d270646~mv2.jpg
"4"" Pilea - Aluminum",1110241000,"4""","A charming, compact plant with round, coin-shaped or textured leaves that make a fun tabletop accent. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Rotate occasionally for even, symmetrical growth. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_c61fa9bd7f72492ab8c9043e13549fad~mv2.jpg
"4"" Giant Baby Tears",1110241100,"4""","A lush, spreading groundcover with small, rounded, bright green leaves that trail beautifully over a pot's edge. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Keep soil evenly moist and never let it dry out completely. Pet friendly and non-toxic if ingested.",FALSE,,Tropical Plants;,23f81e_658c03a76a884393ab1d39c536927590~mv2.jpg
"4"" Pilea - Kiereweed",1110241200,"4""","A charming, compact plant with round, coin-shaped or textured leaves that make a fun tabletop accent. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Rotate occasionally for even, symmetrical growth. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_e051696e72f5435ebb38681a471b5397~mv2.jpg
"4"" Pilea Birdsnest - Crinkle",1110241500,"4""","A charming, compact plant with round, coin-shaped or textured leaves that make a fun tabletop accent. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Rotate occasionally for even, symmetrical growth. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_ba678e5f2fbd48cb8a859374f4ff06e1~mv2_d_2427_1820_s_2.jpg
"4"" Sanseveria - Futura Varigated",1110241600,"4""","The classic Snake Plant, prized for its stiff, upright, sculptural leaves and near-indestructible nature. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Water sparingly and only once the soil is completely dry; excellent drainage is essential. Tolerates low light and infrequent watering, making it ideal for beginners. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_bb3f0b599aae4184960a8aafe2384a88~mv2.jpg
"4"" Pilea Ellen",1110241700,"4""","A charming, compact plant with round, coin-shaped or textured leaves that make a fun tabletop accent. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Rotate occasionally for even, symmetrical growth. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_528c44b5ee6e496496ffeaae960169cd~mv2.jpg
"4"" Pilea - Moon Valley",1110241800,"4""","A charming, compact plant with round, coin-shaped or textured leaves that make a fun tabletop accent. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Rotate occasionally for even, symmetrical growth. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_fed46c6ac85049918eaa4533f2aefb0a~mv2.jpg
"4"" Buddhist Pine - Maki",1110256000,"4""","An upright evergreen with soft, needle-like foliage, popular for bonsai-style training and indoor display. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_59bf84695d194d9a9042b4dcf3870d8b~mv2.jpg
"4"" Ming Aralia - Variegated",1110257900,"4""","A finely textured indoor tree with delicate, lacy, dark green foliage on sculptural stems. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Pet friendly and non-toxic if ingested.",FALSE,,Tropical Plants;,23f81e_6c949060a0c04f1f9130f6b1ed953257~mv2.jpg
"4"" China Doll",1110265000,"4""","A graceful indoor tree with delicate, glossy, umbrella-like leaflets on fine branches. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Dislikes sudden changes in light or temperature, which can cause leaf drop. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_f842e4b442c64ced8a2f7ad6186d61bf~mv2.jpg
"4"" Moses In A Boat - Variegated",1110271100,"4""","A colourful, clumping tropical with purple-and-green boat-shaped leaves, related to Tradescantia. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_0d20c779aa944e8c96c44a3f455d8e7e~mv2.jpg
"4"" Moses In A Boat - Sunny Star",1110271200,"4""","A colourful, clumping tropical with purple-and-green boat-shaped leaves, related to Tradescantia. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_311d6f422d4444919bf91f184557bba6~mv2.jpg
"4"" Snake Plant - Birdsnest",1110280000,"4""","A stiff, upright, sculptural succulent leaf plant that thrives on neglect. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Water sparingly and only once the soil is completely dry; excellent drainage is essential. Tolerates low light and infrequent watering, making it ideal for beginners. Keep away from pets and children, as this plant is toxic if ingested.",FALSE,,Tropical Plants;,23f81e_490dde10ff784c97bec9399c13d1d2cc~mv2.jpg
"4"" Snake Plant - Green",1110280200,"4""","A stiff, upright, sculptural succulent leaf plant that thrives on neglect. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Water sparingly and only once the soil is completely dry; excellent drainage is essential. Tolerates low light and infrequent watering, making it ideal for beginners. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_583408aed2e9495e89af2b8341f8d4f9~mv2.jpg
"4"" Snake Plant - Moonshine",1110280500,"4""","A stiff, upright, sculptural succulent leaf plant that thrives on neglect. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Water sparingly and only once the soil is completely dry; excellent drainage is essential. Tolerates low light and infrequent watering, making it ideal for beginners. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_f2ecb25100594c6388bd94859231be2e~mv2.jpg
"6"" Snake Plant - Green",1110280800,"6""","A stiff, upright, sculptural succulent leaf plant that thrives on neglect. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Water sparingly and only once the soil is completely dry; excellent drainage is essential. Tolerates low light and infrequent watering, making it ideal for beginners. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_a8a4060a019e4d16883e452ce1d7a98d~mv2.jpg
"6"" Pampas Grass",1110281200,"6""","A dramatic, large-scale ornamental grass with tall, feathery plumes. Needs full sun (6+ hours of direct light daily) to perform its best. Very drought tolerant once established and needs only occasional watering. Pet friendly and non-toxic if ingested.",TRUE,,Outdoor Items,23f81e_c694589a83024d8683e2e515aa3acccc~mv2.jpg
"4"" Maidenhair Fern",1110281300,"4""","A delicate fern with fine, fan-shaped leaflets on wiry black stems; a touch more particular than most ferns. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Keep soil evenly moist and never let it dry out completely. Loves humidity and should never be allowed to dry out. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_333cf4155ff74b0b9b2d0dfaa7491f3f~mv2.jpg;23f81e_3f14ff5d93034a10ad8e36e72d36144a~mv2.jpg;23f81e_df62c74ba3ce40e4886b946ddf90b16a~mv2.jpg;23f81e_dd6e0ee1f7b040fb8e990eee49bf0bf1~mv2.jpg;23f81e_4427b9d040004ce0aa373add1b249657~mv2.jpg;23f81e_6c9b9154fb414f4e98271ca2f893e393~mv2.jpg
"4"" Pothos - Golden",1110285000,"4""","A vigorous, trailing vine with heart-shaped, glossy leaves that's nearly impossible to kill. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Great for hanging baskets, shelves, or training up a pole. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_9b7e3dd32190440d9b6c84329f7570f5~mv2.jpg
"4"" Pothos - Marble Queen",1110285100,"4""","A vigorous, trailing vine with heart-shaped, glossy leaves that's nearly impossible to kill. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Great for hanging baskets, shelves, or training up a pole. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_ab8f3bf432ba458ea72edb061aa9af70~mv2.jpg
"4"" Pothos - Satin",1110285300,"4""","A vigorous, trailing vine with heart-shaped, glossy leaves that's nearly impossible to kill. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Great for hanging baskets, shelves, or training up a pole. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_70b0a2d378884c00ae16e944bed9e4de~mv2.jpg
"4"" Pothos - Pearl & Jade",1110285400,"4""","A vigorous, trailing vine with heart-shaped, glossy leaves that's nearly impossible to kill. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Great for hanging baskets, shelves, or training up a pole. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_02999768d68546ccb7d008901ad0d8e8~mv2.jpg
"4"" Pothos - Neon",1110285600,"4""","A vigorous, trailing vine with heart-shaped, glossy leaves that's nearly impossible to kill. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Great for hanging baskets, shelves, or training up a pole. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_8da2d30632e44ec69cd42d4fc1bec8e7~mv2.jpg
"4"" Club Moss - Green",1110286000,"4""","A fine-textured, moss-like foliage plant that forms a soft, feathery mound. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Keep soil evenly moist and never let it dry out completely. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_50742e1845924fa68eade3318a390ece~mv2.jpg
"4"" Club Moss - Golden",1110286100,"4""","A fine-textured, moss-like foliage plant that forms a soft, feathery mound. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Keep soil evenly moist and never let it dry out completely. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_10c434d2ed174da8a3af305763905098~mv2.jpg
"6"" Foxtail Fern",1110286500,"6""","A bold Asparagus Fern relative with dense, upright, bottlebrush-like fronds (not a true fern). Prefers bright light with some direct sun each day. Water when the top inch of soil feels dry, then allow to drain freely. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_fcd03356ae0b49cd9a6685798a9d6578~mv2.jpg
"4"" Peperomia - Happy Bean",1110286600,"4""","A compact, easy-care houseplant with thick, decorative leaves that store water like a succulent. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_0169eaf2fe6747a2abd74c20fab0655b~mv2.jpg
"4"" String of Pearls",1110287000,"4""","A whimsical trailing succulent with round, bead-like leaves cascading down long, thin stems. Provide bright, indirect light for best growth and colour. Water sparingly and only once the soil is completely dry; excellent drainage is essential. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_50c4947bc63743ccbab89aaafcc97131~mv2.jpg
"4"" Wax Ivy - Green",1110287100,"4""","A trailing succulent vine (Senecio/Peperomia type) with thick, glossy, waxy leaves. Provide bright, indirect light for best growth and colour. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_e216c1e8cc694088ac08f2de3dc44d4a~mv2.jpg
"4"" Wax Ivy - Variegated",1110287300,"4""","A trailing succulent vine (Senecio/Peperomia type) with thick, glossy, waxy leaves. Provide bright, indirect light for best growth and colour. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_25ce87a3d051443ea98713cd343f7716~mv2.jpg
"4"" String of Dolphins",1110288000,"4""","A fun trailing succulent whose plump leaves are shaped uncannily like tiny leaping dolphins. Provide bright, indirect light for best growth and colour. Water sparingly and only once the soil is completely dry; excellent drainage is essential. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_5e0f53d6e4eb4c86b01e9d755f0ab68f~mv2.jpg
"4"" Peace Lily",1110291100,"4""","A graceful, air-purifying favourite with glossy, dark green leaves and elegant white blooms. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Keep soil evenly moist and never let it dry out completely. Leaves droop dramatically when thirsty and perk back up quickly after watering. Keep away from pets and children, as this plant is toxic if ingested.",FALSE,,Tropical Plants;,23f81e_e48be0a0ac6d48d7a51f6a8cc1a272d0~mv2.jpg
"4"" Persian Shield",1110292000,"4""","A striking foliage plant with iridescent, shimmering purple leaves. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_1eb53c27b5e643de872ef56a7139244c~mv2.jpg
"4"" Nephthytis - Merry Maria",1110295300,"4""","Also known as Arrowhead Plant (Syngonium), grown for its arrow-shaped leaves in a range of colourful patterns. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Its climbing habit can be trained onto a pole or left to trail. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_2974b85c2c744408af0da8a74b9a7cf5~mv2.jpg
"4"" Nephthytis - Moonshine",1110295500,"4""","Also known as Arrowhead Plant (Syngonium), grown for its arrow-shaped leaves in a range of colourful patterns. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Its climbing habit can be trained onto a pole or left to trail. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_75c20500ea93425da15aa559ec93ee55~mv2.jpg
"4"" Nephthytis - Glo Go",1110295600,"4""","Also known as Arrowhead Plant (Syngonium), grown for its arrow-shaped leaves in a range of colourful patterns. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Its climbing habit can be trained onto a pole or left to trail. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_f789bf33bdf54fa99f38ccae8f54a3f0~mv2.jpg
"4"" Nephthytis - Strawberry/Cream",1110295800,"4""","Also known as Arrowhead Plant (Syngonium), grown for its arrow-shaped leaves in a range of colourful patterns. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Its climbing habit can be trained onto a pole or left to trail. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_19c710e06cd74918a749dee901a4e18c~mv2.jpg
"4"" Nephthytis - Kiwi",1110296100,"4""","Also known as Arrowhead Plant (Syngonium), grown for its arrow-shaped leaves in a range of colourful patterns. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Its climbing habit can be trained onto a pole or left to trail. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_8400a5cc44004e60a247e549d5420362~mv2.jpg
"4"" Nephthytis - Butterfly - White",1110296300,"4""","Also known as Arrowhead Plant (Syngonium), grown for its arrow-shaped leaves in a range of colourful patterns. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Its climbing habit can be trained onto a pole or left to trail. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_a023b142056847b39dbebfbc245cd019~mv2.jpg
"4"" Nephthytis - Holly",1110296500,"4""","Also known as Arrowhead Plant (Syngonium), grown for its arrow-shaped leaves in a range of colourful patterns. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Its climbing habit can be trained onto a pole or left to trail. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_503431d6495c4ef79b62fff63d967172~mv2.jpg
"4"" Nephthytis - CandyBerry",1110296600,"4""","Also known as Arrowhead Plant (Syngonium), grown for its arrow-shaped leaves in a range of colourful patterns. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Its climbing habit can be trained onto a pole or left to trail. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_998bd50276b3421ba6d21a03c14f2454~mv2.jpg
"4"" Tradescantia - Purple Heart",1110297400,"4""","A colourful, fast-growing trailing plant with striped or solid purple, green, or silver foliage. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Pinch back regularly to keep it full and bushy. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_6308566081bf4ddf86363c98986608b5~mv2.jpg
"4"" Tradescantia - Nanouk",1110311300,"4""","A colourful, fast-growing trailing plant with striped or solid purple, green, or silver foliage. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Pinch back regularly to keep it full and bushy. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_4fa53d353fb147118f423ca708313b16~mv2.jpg
"4"" Chain Plant - Navicularis",1110311600,"4""","A trailing succulent with small, bead-like or heart-shaped leaves strung along thin stems. Provide bright, indirect light for best growth and colour. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_c4b9948d6ecf4dde8b8623eb9769b43c~mv2.jpg
"6"" Tropicals - Assorted",1115000000,"6""","A curated mix of easy-care tropical foliage plants, offering varied textures and colours for indoor greenery. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely.",TRUE,,Tropical Plants;,23f81e_fe6a9696d3b7478caae4d4d0b050f0d2~mv2.jpg
"4"" Alocasia - Silver Dragon",1115009300,"4""","A striking tropical statement plant with bold, arrow- or heart-shaped leaves and dramatic veining. Provide bright, indirect light for best growth and colour. Prefers consistently moist soil and appreciates higher humidity. Appreciates warmth and higher humidity; may go semi-dormant in low light or cool conditions. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_35cb87a6d2ba4565bf788eb853ba4a86~mv2.jpg
"6"" Alocasia - Silver Dragon",1115009300,"6""","A striking tropical statement plant with bold, arrow- or heart-shaped leaves and dramatic veining. Provide bright, indirect light for best growth and colour. Prefers consistently moist soil and appreciates higher humidity. Appreciates warmth and higher humidity; may go semi-dormant in low light or cool conditions. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_a4a3ba3ef2fa495bbfc49b8b566c14ce~mv2.jpg
"6"" Norfolk Island Pine",1115013000,"6""","A soft, symmetrical evergreen with tiered branches, traditionally used as a living holiday tree. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Prefers steady humidity and dislikes hot, dry indoor air. Pet friendly and non-toxic if ingested.",TRUE,,Christmas,23f81e_92e42f0181744f88abb052004231980a~mv2.jpg
"6"" Calathea",1115028000,"6""","A striking Prayer Plant relative grown for its boldly patterned, richly coloured foliage. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Prefers consistently moist soil and appreciates higher humidity. Leaves fold up at night; prefers filtered water and higher humidity to prevent crispy edges. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_3b9958138e3e48af81c26f69106c2079~mv2.jpg;23f81e_3e7a174f9da24fcb85eeff9f1c559e77~mv2_d_6000_4000_s_4_2.jpg;23f81e_34f42a2e6f9f4afb9bfa7ce0553dd47c~mv2_d_2432_1667_s_2.jpg
"6"" Croton - Petra",1115040800,"6""","A vibrant, sun-loving foliage plant with bold, multicoloured leaves in shades of red, orange, and yellow. Prefers bright light with some direct sun each day. Water when the top inch of soil feels dry, then allow to drain freely. Needs good light to maintain its brightest colours. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_568ea52291764eff840c720aeb64de9a~mv2.jpg
"6"" Chinese Evergreen - Red",1115047000,"6""","A tough, colourful foliage plant valued for its patterned leaves and ability to thrive indoors with minimal fuss. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Keep away from pets and children, as this plant is toxic if ingested.",FALSE,,Tropical Plants;,23f81e_d3bd72abb6d34c3ca25cd935962409a1~mv2.jpg
"6"" Dieffenbachia Perfection",1115060200,"6""","A classic tropical foliage plant with large, boldly patterned cream-and-green leaves. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_f8c3ba05fd9a4f98be0af0fc0da39968~mv2_d_2667_2000_s_2.jpg
"6"" Dieffenbachia - Camille",1115060300,"6""","A classic tropical foliage plant with large, boldly patterned cream-and-green leaves. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_5b5773e654b04ae3b2e0459d9ff343ba~mv2_d_2667_2000_s_2.jpg
"6"" Ribbon Plant",1115068500,"6""","A Dracaena variety grown for its gracefully arching, ribbon-like variegated leaves. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Keep away from pets and children, as this plant is toxic if ingested.",FALSE,,Tropical Plants;,23f81e_3673565796824809892c1508be5174a6~mv2_d_3000_2250_s_2.jpg
"6"" Lavender - Stoechas",1115071100,"6""","A fragrant, drought-tolerant perennial with silvery foliage and spikes of aromatic purple flowers. Needs full sun (6+ hours of direct light daily) to perform its best. Very drought tolerant once established and needs only occasional watering. Pet friendly and non-toxic if ingested.",TRUE,,Outdoor Items,23f81e_771b4ab81b8f4924a3c55630b923b928~mv2.jpg;23f81e_39e51be773eb44e58cc3a429db751f1c~mv2.jpg
"6"" Ficus Decora Burgundy",1115083500,"6""","A popular indoor tree or trailing vine with glossy foliage that makes a bold architectural statement. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Dislikes being moved and may drop a few leaves while adjusting to a new spot. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_c27ff0fa9dec4b00b9c4e2a075cdd8db~mv2.jpg
"6"" Ficus Weeping Fig - Bush",1115084100,"6""","A classic indoor tree with slender, arching branches and glossy, dark green leaves. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Keep it in a consistent spot, as it is sensitive to changes in light and drafts. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_703bd3a116134085835edaf47baa52d6~mv2_d_2667_2000_s_2.jpg
"6"" Mini Ficus Lyrata",1115084800,"6""","A popular indoor tree or trailing vine with glossy foliage that makes a bold architectural statement. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Dislikes being moved and may drop a few leaves while adjusting to a new spot. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_13db27ed9e31466d8ebb5bbbf08a54a5~mv2.jpg
"6"" Ficus - Weeping Fig - Zig-Zag",1115086800,"6""","A classic indoor tree with slender, arching branches and glossy, dark green leaves. Provide bright, indirect light for best growth and colour. Water when the top inch of soil feels dry, then allow to drain freely. Keep it in a consistent spot, as it is sensitive to changes in light and drafts. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_b0998acd496c44e198a75894380a5f27~mv2_d_2575_1931_s_2.jpg
"6"" Umbrella Tree - Scheff Hawaiian",1115111000,"6""","A fast-growing indoor tree with glossy leaflets arranged like the spokes of an umbrella. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Water when the top inch of soil feels dry, then allow to drain freely. Pet friendly and non-toxic if ingested.",FALSE,,Tropical Plants;,23f81e_b863907fbb7e4f87a3bb42052c6f5d22~mv2_d_2957_2218_s_2.jpg
"6"" Sweet Bay Tree",1115130700,"6""","A classic culinary and ornamental evergreen shrub, trained here into a neat topiary form. Needs full sun (6+ hours of direct light daily) to perform its best. Water when the top inch of soil feels dry, then allow to drain freely. Pet friendly and non-toxic if ingested.",TRUE,,Outdoor Items,23f81e_8d77e8c30d484b77ac2a719a69264365~mv2.jpg
"6"" Banana",1115173000,"6""","A fast-growing, dramatic tropical plant with huge, paddle-shaped leaves for an instant jungle feel. Prefers bright light with some direct sun each day. Keep soil evenly moist and never let it dry out completely. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_4823179fc26841baaad86db4d0381a58~mv2_d_3776_3380_s_4_2.jpg
"6"" Money Tree - Braid",1115179000,"6""","A popular houseplant with a braided trunk and glossy, umbrella-like leaflets, said to bring good fortune. Thrives in medium to bright indirect light; avoid harsh, direct midday sun. Allow the soil to dry out between waterings; overwatering is the most common cause of trouble. Pet friendly and non-toxic if ingested.",TRUE,,Tropical Plants;,23f81e_615b9e41d1784e4b879e647935f1c4a8~mv2.jpg
"6"" Blood Banana",1115280200,"6""",A striking banana variety with bold green leaves marked in deep burgundy-red. Prefers bright light with some direct sun each day. Keep soil evenly moist and never let it dry out completely. Pet friendly and non-toxic if ingested.,TRUE,,Tropical Plants;,23f81e_63d9aa9a3bac40538982ae7b7fffe3c8~mv2.jpg
"6"" Snake Plant - Futura Robusta",1115280800,"6""","A stiff, upright, sculptural succulent leaf plant that thrives on neglect. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Water sparingly and only once the soil is completely dry; excellent drainage is essential. Tolerates low light and infrequent watering, making it ideal for beginners. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Tropical Plants;,23f81e_ccddcaffbf814adc96d507a20bcb8345~mv2.jpg
"6"" Peace Lily - Flowering",1115291100,"6""","A graceful, air-purifying favourite with glossy, dark green leaves and elegant white blooms. Tolerates low to medium light, making it a forgiving choice for offices and low-light corners. Keep soil evenly moist and never let it dry out completely. Leaves droop dramatically when thirsty and perk back up quickly after watering. Keep away from pets and children, as this plant is toxic if ingested.",TRUE,,Indoor Flowering,23f81e_eabe37d346c0436b8a28c4570b7e55da~mv2.jpg;23f81e_46e07c2597924a7a9a2cdea3652ccb73~mv2.jpg
